Company Name,Industry,Symbol,Category
360 ONE WAM Ltd.,Financial Services,360ONE,Smallcap
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,Smallcap
Aarti Industries Ltd.,Chemicals,AARTIIND,Smallcap
Aavas Financiers Ltd.,Financial Services,AAVAS,Smallcap
Action Construction Equipment Ltd.,Capital Goods,ACE,Smallcap
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,Smallcap
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,Smallcap
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,Smallcap
Affle (India) Ltd.,Information Technology,AFFLE,Smallcap
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,Smallcap
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,Smallcap
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,Smallcap
Alok Industries Ltd.,Textiles,ALOKINDS,Smallcap
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,Smallcap
Amber Enterprises India Ltd.,Consumer Durables,AMBER,Smallcap
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,Smallcap
Anant Raj Ltd.,Realty,ANANTRAJ,Smallcap
Angel One Ltd.,Financial Services,ANGELONE,Smallcap
Apar Industries Ltd.,Capital Goods,APARINDS,Smallcap
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,Smallcap
Archean Chemical Industries Ltd.,Chemicals,ACI,Smallcap
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,Smallcap
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,Smallcap
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,Smallcap
Atul Ltd.,Chemicals,ATUL,Smallcap
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,Smallcap
BASF India Ltd.,Chemicals,BASF,Smallcap
BEML Ltd.,Capital Goods,BEML,Smallcap
BLS International Services Ltd.,Consumer Services,BLS,Smallcap
Balaji Amines Ltd.,Chemicals,BALAMINES,Smallcap
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,Smallcap
Bata India Ltd.,Consumer Durables,BATAINDIA,Smallcap
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,Smallcap
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,Smallcap
Birlasoft Ltd.,Information Technology,BSOFT,Smallcap
Blue Dart Express Ltd.,Services,BLUEDART,Smallcap
Blue Star Ltd.,Consumer Durables,BLUESTARCO,Smallcap
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,Smallcap
Brigade Enterprises Ltd.,Realty,BRIGADE,Smallcap
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,Smallcap
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,Smallcap
CESC Ltd.,Power,CESC,Smallcap
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,Smallcap
Campus Activewear Ltd.,Consumer Durables,CAMPUS,Smallcap
Can Fin Homes Ltd.,Financial Services,CANFINHOME,Smallcap
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,Smallcap
Capri Global Capital Ltd.,Financial Services,CGCL,Smallcap
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,Smallcap
Ceat Ltd.,Automobile and Auto Components,CEATLTD,Smallcap
Cello World Ltd.,Consumer Durables,CELLO,Smallcap
Central Bank of India,Financial Services,CENTRALBK,Smallcap
Central Depository Services (India) Ltd.,Financial Services,CDSL,Smallcap
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,Smallcap
Cera Sanitaryware Ltd,Consumer Durables,CERA,Smallcap
Chalet Hotels Ltd.,Consumer Services,CHALET,Smallcap
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,Smallcap
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,Smallcap
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,Smallcap
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,Smallcap
City Union Bank Ltd.,Financial Services,CUB,Smallcap
Clean Science and Technology Ltd.,Chemicals,CLEAN,Smallcap
Computer Age Management Services Ltd.,Financial Services,CAMS,Smallcap
